"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2019,271,221,50,0,0,0,0,80,55,40,0,0,198,73,0
"Alabama","Clay",2019,107,75,32,0,0,0,0,71,56,41,0,0,0,107,0
"Alabama","Colbert",2019,263,238,25,0,0,0,0,65,50,38,0,0,219,44,0
"Alabama","DeKalb",2019,361,303,58,0,0,0,0,90,54,39,0,0,306,55,0
"Alabama","Elmore",2019,228,208,20,0,0,0,0,100,50,39,0,0,228,0,0
"Alabama","Etowah",2019,279,201,78,0,0,0,0,90,58,44,0,0,201,78,0
"Alabama","Houston",2019,280,230,50,0,0,0,0,77,55,38,0,0,181,99,0
"Alabama","Jefferson",2019,365,85,267,13,0,0,0,150,80,58,0,0,75,289,1
"Alabama","Lawrence",2019,112,98,14,0,0,0,0,58,51,32,0,0,0,112,0
"Alabama","Madison",2019,361,189,172,0,0,0,0,93,62,49,0,0,99,255,7
"Alabama","Mobile",2019,352,167,185,0,0,0,0,82,64,52,0,0,69,283,0
"Alabama","Montgomery",2019,365,84,280,1,0,0,0,122,71,57,0,0,18,346,1
"Alabama","Morgan",2019,365,247,118,0,0,0,0,93,58,45,0,0,145,220,0
"Alabama","Russell",2019,363,195,168,0,0,0,0,84,63,48,0,0,64,299,0
"Alabama","Shelby",2019,244,202,39,3,0,0,0,119,61,42,0,0,244,0,0
"Alabama","Sumter",2019,354,287,67,0,0,0,0,67,54,38,0,0,115,239,0
"Alabama","Tuscaloosa",2019,264,217,47,0,0,0,0,87,54,39,0,0,173,91,0
"Alaska","Aleutians East ",2019,121,119,2,0,0,0,0,55,29,14,0,0,0,121,0
"Alaska","Anchorage ",2019,365,254,102,5,4,0,0,163,67,32,5,0,0,285,75
"Alaska","Bethel ",2019,317,302,13,1,1,0,0,185,34,13,0,0,0,212,105
"Alaska","Denali ",2019,360,355,5,0,0,0,0,82,44,36,0,0,348,12,0
"Alaska","Fairbanks North Star ",2019,365,205,121,18,16,1,4,503,103,44,0,6,98,258,3
"Alaska","Juneau ",2019,362,280,79,3,0,0,0,145,60,27,0,0,0,340,22
"Alaska","Kenai Peninsula ",2019,118,111,6,1,0,0,0,140,28,11,0,0,0,118,0
"Alaska","Matanuska-Susitna ",2019,361,262,96,3,0,0,0,127,66,25,0,0,0,313,48
"Alaska","North Slope ",2019,110,108,2,0,0,0,0,69,15,6,0,0,0,110,0
"Arizona","Apache",2019,359,357,2,0,0,0,0,64,21,11,0,0,0,62,297
"Arizona","Cochise",2019,365,253,112,0,0,0,0,97,64,46,0,0,305,45,15
"Arizona","Coconino",2019,365,280,85,0,0,0,0,80,61,45,0,0,349,16,0
"Arizona","Gila",2019,365,210,139,16,0,0,0,146,87,48,0,0,349,1,15
"Arizona","La Paz",2019,364,303,61,0,0,0,0,77,58,44,0,0,357,6,1
"Arizona","Maricopa",2019,365,50,277,38,0,0,0,147,101,67,0,2,204,92,67
"Arizona","Mohave",2019,365,358,7,0,0,0,0,69,29,14,0,0,0,52,313
"Arizona","Navajo",2019,365,294,70,1,0,0,0,112,58,44,0,0,357,1,7
"Arizona","Pima",2019,365,207,156,2,0,0,0,103,71,49,0,0,237,51,77
"Arizona","Pinal",2019,365,104,228,21,2,3,7,929,100,63,0,0,148,66,151
"Arizona","Santa Cruz",2019,362,250,110,2,0,0,0,120,67,39,0,0,0,323,39
"Arizona","Yavapai",2019,357,298,59,0,0,0,0,87,54,43,0,0,355,2,0
"Arizona","Yuma",2019,365,226,136,3,0,0,0,129,67,47,0,0,214,120,31
"Arkansas","Arkansas",2019,118,77,41,0,0,0,0,80,58,41,0,0,0,118,0
"Arkansas","Ashley",2019,120,72,48,0,0,0,0,71,58,43,0,0,0,120,0
"Arkansas","Benton",2019,146,79,67,0,0,0,0,85,61,47,0,0,0,146,0
"Arkansas","Clark",2019,355,347,8,0,0,0,0,67,46,32,0,0,355,0,0
"Arkansas","Craighead",2019,49,35,14,0,0,0,0,65,58,41,0,0,0,49,0
"Arkansas","Crittenden",2019,365,212,152,1,0,0,0,101,60,47,0,0,107,258,0
"Arkansas","Garland",2019,121,61,60,0,0,0,0,77,60,50,0,0,0,121,0
"Arkansas","Jackson",2019,117,76,41,0,0,0,0,77,59,45,0,0,0,117,0
"Arkansas","Newton",2019,365,344,21,0,0,0,0,90,48,36,0,0,342,23,0
"Arkansas","Polk",2019,361,291,69,1,0,0,0,119,58,40,0,0,287,74,0
"Arkansas","Pulaski",2019,365,145,220,0,0,0,0,81,64,53,0,2,88,275,0
