"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2016,279,233,46,0,0,0,0,87,55,40,0,0,189,90,0
"Alabama","Clay",2016,116,83,33,0,0,0,0,61,54,41,0,0,0,116,0
"Alabama","Colbert",2016,282,241,40,1,0,0,0,115,52,41,0,0,193,89,0
"Alabama","DeKalb",2016,348,282,65,1,0,0,0,119,56,41,0,0,293,55,0
"Alabama","Elmore",2016,117,107,10,0,0,0,0,77,48,40,0,0,117,0,0
"Alabama","Etowah",2016,352,77,269,3,3,0,0,190,69,58,0,0,64,288,0
"Alabama","Houston",2016,280,242,38,0,0,0,0,97,52,37,0,0,194,86,0
"Alabama","Jefferson",2016,366,105,252,8,1,0,0,151,77,56,0,4,79,281,2
"Alabama","Lawrence",2016,118,104,13,1,0,0,0,105,52,33,0,0,0,118,0
"Alabama","Madison",2016,333,258,74,1,0,0,0,122,57,42,0,0,212,58,63
"Alabama","Mobile",2016,358,179,177,2,0,0,0,139,63,51,0,0,85,273,0
"Alabama","Montgomery",2016,363,193,168,1,1,0,0,176,61,48,0,0,109,254,0
"Alabama","Morgan",2016,365,240,123,2,0,0,0,107,59,46,0,0,123,242,0
"Alabama","Russell",2016,257,165,92,0,0,0,0,100,62,45,0,0,129,128,0
"Alabama","Shelby",2016,244,205,35,4,0,0,0,133,61,41,0,0,244,0,0
"Alabama","Sumter",2016,336,282,54,0,0,0,0,74,53,37,0,0,136,200,0
"Alabama","Talladega",2016,117,69,48,0,0,0,0,82,57,46,0,0,0,117,0
"Alabama","Tuscaloosa",2016,365,107,258,0,0,0,0,100,63,54,0,0,55,310,0
"Alaska","Aleutians East ",2016,119,117,2,0,0,0,0,59,24,11,0,0,0,119,0
"Alaska","Anchorage ",2016,361,252,109,0,0,0,0,91,63,40,0,0,0,259,102
"Alaska","Denali ",2016,358,357,1,0,0,0,0,54,41,33,0,0,354,4,0
"Alaska","Fairbanks North Star ",2016,366,197,113,33,23,0,0,190,121,46,0,0,105,250,11
"Alaska","Juneau ",2016,305,224,81,0,0,0,0,90,63,27,0,0,0,297,8
"Alaska","Kenai Peninsula ",2016,122,122,0,0,0,0,0,34,18,9,0,0,0,122,0
"Alaska","Matanuska-Susitna ",2016,366,282,80,4,0,0,0,128,64,34,0,0,223,124,19
"Arizona","Apache",2016,366,362,4,0,0,0,0,56,24,14,0,0,0,58,308
"Arizona","Cochise",2016,366,278,86,2,0,0,0,141,61,44,0,0,313,15,38
"Arizona","Coconino",2016,366,298,68,0,0,0,0,97,61,44,0,0,361,5,0
"Arizona","Gila",2016,366,256,108,2,0,0,0,115,71,44,0,0,300,2,64
"Arizona","La Paz",2016,365,290,74,1,0,0,0,101,67,42,0,3,261,69,32
"Arizona","Maricopa",2016,366,47,282,36,0,1,0,227,101,67,0,16,175,109,66
"Arizona","Mohave",2016,357,334,23,0,0,0,0,83,42,19,0,0,0,53,304
"Arizona","Navajo",2016,366,299,67,0,0,0,0,90,54,43,0,0,350,2,14
"Arizona","Pima",2016,366,191,171,4,0,0,0,119,74,50,0,0,231,34,101
"Arizona","Pinal",2016,366,57,256,46,5,1,1,1348,108,69,0,0,89,70,207
"Arizona","Santa Cruz",2016,363,193,169,0,0,1,0,209,65,48,0,0,0,316,47
"Arizona","Yavapai",2016,349,299,50,0,0,0,0,90,54,40,0,0,343,6,0
"Arizona","Yuma",2016,366,199,153,12,1,0,1,410,77,49,0,0,180,97,89
"Arkansas","Arkansas",2016,119,72,47,0,0,0,0,74,59,44,0,0,0,119,0
"Arkansas","Ashley",2016,118,72,46,0,0,0,0,72,58,45,0,0,0,118,0
"Arkansas","Clark",2016,355,351,4,0,0,0,0,54,45,34,0,0,355,0,0
"Arkansas","Crittenden",2016,366,286,77,2,1,0,0,159,58,40,0,19,278,69,0
"Arkansas","Garland",2016,119,66,53,0,0,0,0,70,58,48,0,0,0,119,0
"Arkansas","Jackson",2016,115,72,43,0,0,0,0,79,62,39,0,0,0,115,0
"Arkansas","Newton",2016,366,337,29,0,0,0,0,90,49,37,0,0,324,42,0
"Arkansas","Polk",2016,366,289,77,0,0,0,0,87,57,41,0,0,295,71,0
"Arkansas","Pulaski",2016,366,172,194,0,0,0,0,100,64,52,0,3,97,266,0
"Arkansas","Union",2016,122,66,56,0,0,0,0,74,59,47,0,0,0,122,0
"Arkansas","Washington",2016,366,311,55,0,0,0,0,77,53,40,0,0,291,75,0
"California","Alameda",2016,366,155,196,13,2,0,0,154,74,52,0,2,123,241,0
"California","Alpine",2016,24,19,5,0,0,0,0,69,55,29,0,0,0,24,0
"California","Amador",2016,366,304,57,5,0,0,0,115,64,37,0,0,366,0,0
"California","Butte",2016,366,115,235,16,0,0,0,127,87,57,0,0,143,223,0
"California","Calaveras",2016,366,195,149,22,0,0,0,150,87,49,0,0,240,125,1
"California","Colusa",2016,366,222,144,0,0,0,0,92,64,45,0,0,179,174,13
"California","Contra Costa",2016,366,210,153,3,0,0,0,143,63,46,0,0,137,229,0
"California","Del Norte",2016,177,156,21,0,0,0,0,69,52,26,0,0,0,177,0
"California","El Dorado",2016,366,221,102,31,12,0,0,172,105,45,0,0,363,3,0
"California","Fresno",2016,366,62,199,80,25,0,0,190,140,76,0,0,193,163,10
"California","Glenn",2016,362,194,168,0,0,0,0,92,64,48,0,0,137,221,4
"California","Humboldt",2016,366,288,78,0,0,0,0,77,57,38,0,1,192,169,4
"California","Imperial",2016,366,64,257,39,3,1,2,546,105,61,0,2,118,156,90
"California","Inyo",2016,366,238,105,15,4,1,3,418,87,45,0,0,301,29,36
"California","Kern",2016,366,46,204,102,14,0,0,169,136,80,0,0,211,148,7
"California","Kings",2016,366,61,231,71,3,0,0,156,115,72,0,0,164,155,47
"California","Lake",2016,365,356,9,0,0,0,0,74,44,33,0,0,363,2,0
"California","Los Angeles",2016,366,7,255,81,19,4,0,226,134,77,0,23,152,190,1
"California","Madera",2016,366,91,225,47,3,0,0,156,105,63,0,0,187,167,12
"California","Marin",2016,366,296,70,0,0,0,0,90,55,36,0,4,137,225,0
"California","Mariposa",2016,366,197,149,19,1,0,0,159,93,48,0,0,242,114,10
"California","Mendocino",2016,364,287,77,0,0,0,0,70,54,39,0,0,105,258,1
"California","Merced",2016,366,115,216,33,2,0,0,151,100,58,0,0,178,186,2
"California","Mono",2016,366,312,21,3,6,0,24,7063,63,18,0,0,0,37,329
"California","Monterey",2016,366,290,65,3,8,0,0,185,55,37,0,0,203,140,23
"California","Napa",2016,366,219,147,0,0,0,0,90,61,44,0,0,104,261,1
"California","Nevada",2016,366,232,89,40,5,0,0,179,101,45,0,0,353,13,0
