"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2017,270,224,45,1,0,0,0,108,56,39,0,0,188,82,0
"Alabama","Clay",2017,118,76,42,0,0,0,0,69,57,40,0,0,0,118,0
"Alabama","Colbert",2017,283,244,39,0,0,0,0,67,53,39,0,0,202,81,0
"Alabama","DeKalb",2017,359,305,54,0,0,0,0,80,54,40,0,0,290,69,0
"Alabama","Elmore",2017,226,221,5,0,0,0,0,58,45,35,0,0,226,0,0
"Alabama","Etowah",2017,360,155,203,1,1,0,0,168,66,53,0,0,86,274,0
"Alabama","Houston",2017,281,237,43,1,0,0,0,131,54,37,0,0,185,96,0
"Alabama","Jefferson",2017,365,104,258,3,0,0,0,129,73,56,0,1,59,304,1
"Alabama","Lawrence",2017,122,101,21,0,0,0,0,83,53,31,0,0,0,122,0
"Alabama","Madison",2017,335,277,58,0,0,0,0,100,54,40,0,0,210,69,56
"Alabama","Mobile",2017,361,250,106,5,0,0,0,139,60,43,0,0,160,201,0
"Alabama","Montgomery",2017,346,144,199,2,0,1,0,246,67,53,0,0,79,267,0
"Alabama","Morgan",2017,364,264,100,0,0,0,0,80,57,43,0,0,142,222,0
"Alabama","Russell",2017,311,184,127,0,0,0,0,88,66,46,0,0,155,156,0
"Alabama","Shelby",2017,239,222,17,0,0,0,0,97,50,38,0,0,239,0,0
"Alabama","Sumter",2017,350,279,71,0,0,0,0,85,54,38,0,0,148,202,0
"Alabama","Talladega",2017,116,65,51,0,0,0,0,73,60,44,0,0,0,116,0
"Alabama","Tuscaloosa",2017,350,92,257,1,0,0,0,123,71,57,0,0,38,312,0
"Alaska","Aleutians East ",2017,118,118,0,0,0,0,0,38,24,12,0,0,0,118,0
"Alaska","Anchorage ",2017,365,299,65,1,0,0,0,105,59,28,3,0,0,236,126
"Alaska","Denali ",2017,360,359,1,0,0,0,0,52,42,34,0,0,356,4,0
"Alaska","Fairbanks North Star ",2017,365,212,108,25,20,0,0,190,115,44,0,3,73,289,0
"Alaska","Juneau ",2017,356,281,74,1,0,0,0,103,59,20,0,0,0,354,2
"Alaska","Kenai Peninsula ",2017,67,67,0,0,0,0,0,30,16,8,0,0,0,67,0
"Alaska","Matanuska-Susitna ",2017,365,296,64,4,1,0,0,157,61,32,0,0,202,140,23
"Arizona","Apache",2017,365,361,4,0,0,0,0,62,30,14,0,0,0,56,309
"Arizona","Cochise",2017,365,248,115,2,0,0,0,111,71,45,0,0,288,29,48
"Arizona","Coconino",2017,365,253,111,1,0,0,0,105,71,46,0,0,348,17,0
"Arizona","Gila",2017,365,247,109,8,1,0,0,161,74,44,0,0,318,3,44
"Arizona","La Paz",2017,361,273,86,2,0,0,0,105,64,44,3,0,309,46,3
"Arizona","Maricopa",2017,365,38,272,50,5,0,0,173,108,71,0,11,198,79,77
"Arizona","Mohave",2017,355,349,6,0,0,0,0,86,31,17,0,0,0,54,301
"Arizona","Navajo",2017,365,278,86,1,0,0,0,101,64,44,0,0,349,2,14
"Arizona","Pima",2017,365,121,237,7,0,0,0,122,80,54,0,0,188,77,100
"Arizona","Pinal",2017,365,55,242,59,7,1,1,358,115,75,0,0,111,62,192
"Arizona","Santa Cruz",2017,365,236,125,2,2,0,0,198,65,40,0,0,0,293,72
"Arizona","Yavapai",2017,340,231,104,5,0,0,0,119,74,46,0,0,326,14,0
"Arizona","Yuma",2017,365,201,150,12,1,1,0,235,73,49,0,0,168,142,55
"Arkansas","Arkansas",2017,113,73,40,0,0,0,0,67,57,39,0,0,0,113,0
"Arkansas","Ashley",2017,121,71,50,0,0,0,0,69,57,44,0,0,0,121,0
"Arkansas","Clark",2017,358,345,13,0,0,0,0,74,45,34,0,0,358,0,0
"Arkansas","Crittenden",2017,365,199,165,1,0,0,0,140,62,48,0,4,99,262,0
"Arkansas","Garland",2017,121,74,47,0,0,0,0,74,58,46,0,0,0,121,0
"Arkansas","Jackson",2017,122,77,45,0,0,0,0,71,59,40,0,0,0,122,0
"Arkansas","Newton",2017,365,338,27,0,0,0,0,63,48,38,0,0,336,29,0
"Arkansas","Polk",2017,362,299,63,0,0,0,0,97,55,41,0,0,290,72,0
"Arkansas","Pulaski",2017,365,161,203,1,0,0,0,115,64,52,0,1,81,283,0
"Arkansas","Union",2017,365,164,201,0,0,0,0,92,62,52,0,0,0,365,0
"Arkansas","Washington",2017,365,174,191,0,0,0,0,83,62,51,0,0,92,273,0
"California","Alameda",2017,365,106,245,9,4,1,0,205,78,56,0,6,51,308,0
"California","Amador",2017,362,291,67,4,0,0,0,136,64,38,0,0,362,0,0
"California","Butte",2017,365,100,241,23,1,0,0,155,95,59,0,0,150,213,2
"California","Calaveras",2017,354,118,222,12,2,0,0,172,87,57,0,0,198,155,1
"California","Colusa",2017,365,237,120,7,0,1,0,213,67,43,0,0,168,179,18
"California","Contra Costa",2017,365,131,222,8,4,0,0,175,76,54,0,0,55,310,0
"California","Del Norte",2017,298,241,55,0,1,1,0,251,56,27,0,0,0,298,0
"California","El Dorado",2017,362,235,96,31,0,0,0,147,100,45,0,0,327,7,28
"California","Fresno",2017,365,76,169,93,26,1,0,207,140,75,0,2,212,140,11
"California","Glenn",2017,365,231,127,7,0,0,0,150,63,46,0,0,144,185,36
"California","Humboldt",2017,365,298,59,5,3,0,0,180,61,37,1,1,230,123,10
"California","Imperial",2017,365,73,250,37,2,2,1,328,104,64,0,2,139,163,61
